id,width,height,hotspot_x,hotspot_y,visible_pixels,visible_colors,aspect_ratio,localization_family
000,46,18,17,11,330,1,2.556,
001,34,54,63,232,1324,21,0.630,
002,34,54,63,231,1338,21,0.630,
003,34,52,63,232,1317,21,0.654,
004,34,51,63,233,1323,21,0.667,
005,34,52,63,232,1343,21,0.654,
006,34,53,63,231,1373,21,0.642,
007,36,51,62,232,1336,21,0.706,
008,34,54,63,233,1338,21,0.630,
009,34,53,63,232,1338,21,0.642,
010,34,53,63,232,1338,21,0.642,
011,34,53,63,232,1338,21,0.642,
012,34,53,63,232,1341,21,0.642,
013,34,53,63,232,1345,21,0.642,
014,34,53,63,232,1353,21,0.642,
015,34,53,63,232,1340,20,0.642,
016,34,53,63,232,1333,21,0.642,
017,34,53,63,232,1341,21,0.642,
018,34,53,63,232,1333,21,0.642,
019,34,53,63,232,1333,20,0.642,
020,34,53,63,232,1333,21,0.642,
021,34,53,63,232,1341,21,0.642,
022,34,53,63,232,1333,21,0.642,
023,34,53,63,232,1333,20,0.642,
024,34,53,63,232,1333,21,0.642,
025,34,53,63,232,1341,21,0.642,
026,34,53,63,232,1336,21,0.642,
027,34,53,63,232,1333,21,0.642,
028,34,53,63,232,1333,21,0.642,
029,34,53,63,232,1333,21,0.642,
030,34,53,63,232,1333,21,0.642,
031,34,53,63,232,1333,21,0.642,
032,34,53,63,232,1333,21,0.642,
033,34,53,63,232,1333,21,0.642,
034,34,53,63,232,1368,24,0.642,
035,37,53,60,232,1385,25,0.698,
036,37,53,60,232,1385,25,0.698,
037,40,53,57,232,1427,27,0.755,
038,43,53,54,232,1457,27,0.811,
039,45,53,53,232,1507,27,0.849,
040,45,53,53,232,1507,27,0.849,
041,45,53,53,232,1508,27,0.849,
042,45,53,53,232,1508,27,0.849,
043,45,53,53,232,1507,27,0.849,
044,45,53,53,232,1508,27,0.849,
045,43,54,54,231,1469,27,0.796,
046,46,55,50,230,1511,27,0.836,
047,42,70,54,215,1507,27,0.600,
048,38,81,57,202,1492,27,0.469,
049,36,92,57,191,1505,27,0.391,
050,36,102,59,181,1505,27,0.353,
051,36,115,60,170,1508,27,0.313,
052,35,125,62,160,1508,27,0.280,
053,36,132,62,153,1512,27,0.273,
054,34,136,63,149,1520,27,0.250,
055,35,138,61,147,1509,27,0.254,
056,36,136,59,147,1495,27,0.265,
057,36,133,57,150,1503,27,0.271,
058,36,127,59,156,1515,27,0.283,
059,35,122,61,163,1516,27,0.287,
060,34,114,63,171,1528,27,0.298,
061,34,103,64,182,1537,27,0.330,
062,34,89,63,196,1550,27,0.382,
063,34,77,62,208,1541,27,0.442,
064,34,61,62,224,1460,26,0.557,
065,34,58,62,227,1435,27,0.586,
066,34,58,62,227,1435,21,0.586,
067,34,58,62,227,1435,21,0.586,
068,34,54,62,231,1380,21,0.630,
069,34,53,63,232,1339,21,0.642,
070,34,53,63,232,1338,21,0.642,
071,34,53,63,232,1338,21,0.642,
072,35,54,61,232,1309,15,0.648,
073,35,54,61,232,1334,15,0.648,
074,35,54,61,232,1345,14,0.648,
075,35,54,61,232,1329,14,0.648,
076,35,54,61,232,1335,14,0.648,
077,35,54,61,232,1329,14,0.648,
078,35,54,61,232,1335,14,0.648,
079,35,54,61,232,1329,14,0.648,
080,35,54,61,232,1335,14,0.648,
081,39,54,57,232,1409,20,0.722,
082,44,54,52,232,1469,20,0.815,
083,44,54,52,232,1471,20,0.815,
084,44,54,52,232,1469,20,0.815,
085,44,54,52,232,1467,20,0.815,
086,44,54,52,232,1469,20,0.815,
087,44,54,52,232,1471,20,0.815,
088,42,55,53,231,1461,21,0.764,
089,39,56,56,230,1402,19,0.696,
090,36,58,59,228,1426,20,0.621,
091,34,72,60,214,1477,20,0.472,
092,36,86,57,200,1483,21,0.419,
093,34,99,60,187,1476,20,0.343,
094,34,108,61,178,1463,20,0.315,
095,34,117,62,168,1467,20,0.291,
096,34,122,63,162,1476,20,0.279,
097,34,128,62,157,1461,20,0.266,
098,34,133,61,153,1463,20,0.256,
099,34,134,60,152,1474,20,0.254,
100,36,129,57,157,1499,23,0.279,
101,34,124,60,162,1483,22,0.274,
102,33,116,62,170,1493,22,0.284,
103,32,107,64,178,1499,23,0.299,
104,32,96,65,188,1525,23,0.333,
105,32,86,64,199,1501,23,0.372,
106,33,76,62,210,1507,23,0.434,
107,33,62,62,224,1422,23,0.532,
108,33,59,62,227,1399,17,0.559,
109,33,59,62,227,1399,17,0.559,
110,33,59,62,227,1399,17,0.559,
111,34,56,61,230,1358,14,0.607,
112,34,55,61,231,1344,15,0.618,
113,34,53,63,232,1338,21,0.642,
114,34,53,63,232,1338,21,0.642,
115,34,53,63,232,1338,21,0.642,
116,34,53,63,232,1341,21,0.642,
117,34,53,63,232,1345,21,0.642,
118,34,53,63,232,1353,21,0.642,
119,34,53,63,232,1340,20,0.642,
120,34,53,63,232,1333,21,0.642,
121,34,53,63,232,1341,21,0.642,
122,34,53,63,232,1333,21,0.642,
123,34,53,63,232,1333,20,0.642,
124,34,53,63,232,1333,21,0.642,
125,34,53,63,232,1341,21,0.642,
126,34,53,63,232,1333,21,0.642,
127,34,53,63,232,1333,20,0.642,
128,34,53,63,232,1333,21,0.642,
129,34,53,63,232,1341,21,0.642,
130,34,53,63,232,1336,21,0.642,
131,34,53,63,232,1333,21,0.642,
132,34,53,63,232,1333,21,0.642,
133,34,53,63,232,1333,21,0.642,
134,34,53,63,232,1333,21,0.642,
135,34,53,63,232,1333,21,0.642,
136,34,53,63,232,1333,21,0.642,
137,34,53,63,232,1333,21,0.642,
138,34,53,63,232,1368,24,0.642,
139,37,53,63,232,1385,25,0.698,
140,37,53,63,232,1385,25,0.698,
141,40,53,63,232,1427,27,0.755,
142,43,53,63,232,1457,27,0.811,
143,45,53,62,232,1507,27,0.849,
144,45,53,62,232,1507,27,0.849,
145,45,53,62,232,1508,27,0.849,
146,45,53,62,232,1508,27,0.849,
147,45,53,62,232,1507,27,0.849,
148,45,53,62,232,1508,27,0.849,
149,43,54,63,231,1469,27,0.796,
150,46,55,64,230,1511,27,0.836,
151,42,70,64,215,1507,27,0.600,
152,38,81,65,202,1492,27,0.469,
153,36,92,67,191,1505,27,0.391,
154,36,102,65,181,1505,27,0.353,
155,36,115,64,170,1508,27,0.313,
156,35,125,63,160,1508,27,0.280,
157,36,132,62,153,1512,27,0.273,
158,34,136,63,149,1520,27,0.250,
159,35,138,64,147,1509,27,0.254,
160,36,136,65,147,1495,27,0.265,
161,36,133,67,150,1503,27,0.271,
162,36,127,65,156,1515,27,0.283,
163,35,122,64,163,1516,27,0.287,
164,34,114,63,171,1528,27,0.298,
165,34,103,62,182,1537,27,0.330,
166,34,89,63,196,1550,27,0.382,
167,34,77,64,208,1541,27,0.442,
168,34,61,64,224,1460,26,0.557,
169,34,58,64,227,1435,27,0.586,
170,34,58,64,227,1435,21,0.586,
171,34,58,64,227,1435,21,0.586,
172,34,54,64,231,1380,21,0.630,
173,34,53,63,232,1339,21,0.642,
174,34,53,63,232,1338,21,0.642,
175,34,53,63,232,1338,21,0.642,
176,35,54,64,233,1349,16,0.648,
177,35,54,64,232,1347,16,0.648,
178,35,54,64,231,1340,16,0.648,
179,35,51,64,232,1311,16,0.686,
180,35,51,64,233,1306,16,0.686,
181,35,53,64,232,1310,16,0.660,
182,35,54,64,231,1341,16,0.648,
183,35,54,64,232,1353,16,0.648,
184,34,54,63,232,1324,21,0.630,
185,34,54,63,231,1338,21,0.630,
186,34,52,63,232,1317,21,0.654,
187,34,51,63,233,1323,21,0.667,
188,34,52,63,232,1343,21,0.654,
189,34,53,63,231,1373,21,0.642,
190,36,51,62,232,1336,21,0.706,
191,34,54,63,233,1338,21,0.630,
192,35,54,61,233,1349,16,0.648,
